*** New Session***
31-7-2018 14:40:55
Product Name: Flow 30
81844265 : Rx: [51][FF][01][16][8D][2B][00][00]
81844515 : Rx: [19][CF][27][88][8B][47][20][33]
81844765 : Rx: [10][19][65][37][39][09][FF][34]
81845015 : Rx: [19][D0][27][D2][8B][4A][20][33]
81845265 : Rx: [10][19][67][38][70][09][FF][34]
81845515 : Rx: [19][D1][28][1C][8C][4A][20][33]
81845765 : Rx: [10][19][69][39][C4][09][FF][34]
81846015 : Rx: [19][D2][25][66][8C][4A][20][33]
81846265 : Rx: [10][19][6B][3A][4E][0A][FF][34]
81846515 : Rx: [19][D3][2A][B0][8C][4A][20][33]
81846765 : Rx: [10][19][6D][3C][A8][09][FF][34]
81847015 : Rx: [19][D4][28][FA][8C][4A][20][33]
81847265 : Rx: [10][19][6F][3D][6A][0A][FF][34]
81847500 : Rx fail
81847750 : Rx fail
81848015 : Rx: [19][D6][27][94][8D][4D][20][33]
81848265 : Rx: [10][19][73][3F][8C][09][FF][34]
81848515 : Rx: [19][D7][29][E1][8D][4D][20][33]
81848765 : Rx: [10][19][75][41][17][0A][FF][34]
81849015 : Rx: [19][D8][29][2E][8E][4D][20][33]
81849265 : Rx: [10][19][77][42][F5][0A][FF][34]
81849515 : Rx: [19][D9][2D][7E][8E][50][20][33]
81849765 : Rx: [10][19][79][43][A2][0A][FF][34]
81850015 : Rx: [19][DA][2A][CE][8E][50][20][33]
81850265 : Rx: [10][19][7B][45][4E][0A][FF][34]
81850515 : Rx: [19][DB][2C][1E][8F][50][20][33]
81850765 : Rx: [10][19][7D][46][A2][0A][FF][34]
81851015 : Rx: [19][DC][2C][6E][8F][50][20][33]
81851265 : Rx: [10][19][7F][47][D9][0A][FF][34]
81851515 : Rx: [19][DD][2D][C1][8F][53][20][33]
81851765 : Rx: [10][19][81][49][BE][0A][FF][34]
81852015 : Rx: [19][DE][2C][14][90][53][20][33]
81852265 : Rx: [10][19][83][4A][BE][0A][FF][34]
81852515 : Rx: [F0][00][00][00][00][00][00][00]
81852765 : Rx: [10][19][85][4C][48][0B][FF][34]
81853015 : Rx: [19][DF][2C][67][90][53][20][33]
