*** New Session***
19-7-2018 15:16:15
Product Name: Flux 30%
105035250 : Rx: [19][0D][29][26][4D][8A][20][33]
105035500 : Rx: [10][19][72][09][EF][0B][FF][34]
105035750 : Rx: [19][0E][28][AA][4D][84][20][33]
105036015 : Rx: [10][19][74][0A][D3][0B][FF][34]
105036250 : Rx: [19][0F][28][2D][4E][83][20][33]
105036515 : Rx: [10][19][76][0C][64][0B][FF][34]
105036750 : Rx: [19][10][26][A9][4E][7C][20][33]
105037000 : Rx: [10][19][78][0D][80][0B][FF][34]
105037250 : Rx: [19][11][28][30][4F][87][20][33]
105037500 : Rx fail
105037765 : Rx: [19][12][29][B9][4F][89][20][33]
105038015 : Rx: [10][19][7C][10][D3][0B][FF][34]
105038265 : Rx: [19][13][28][39][50][80][20][33]
105038515 : Rx fail
105038765 : Rx fail
105039000 : Rx: [10][19][80][13][9C][0B][FF][34]
105039250 : Rx fail
105039500 : Rx: [10][19][82][14][9C][0B][FF][34]
105039750 : Rx: [19][16][28][BA][51][86][20][33]
105040000 : Rx: [10][19][84][16][EF][0B][FF][34]
105040265 : Rx: [19][17][29][4A][52][90][20][33]
105040515 : Rx: [10][19][86][17][B2][0C][FF][34]
105040750 : Rx: [19][18][2B][E2][52][98][20][33]
105041000 : Rx: [10][19][88][19][CD][0C][FF][34]
105041265 : Rx: [19][19][2B][7B][53][99][20][33]
105041515 : Rx: [10][19][8A][1A][7A][0C][FF][34]
105041765 : Rx: [19][1A][29][06][54][8B][20][33]
105042000 : Rx: [10][19][8C][1C][42][0C][FF][34]
105042250 : Rx: [F0][00][00][00][00][00][00][00]
105042515 : Rx: [10][19][8E][1D][7A][0C][FF][34]
105042765 : Rx: [19][1B][2A][9A][54][94][20][33]
105043015 : Rx: [10][19][90][1F][96][0C][FF][34]
105043250 : Rx: [19][1C][2A][2D][55][93][20][33]
105043515 : Rx: [10][19][92][20][96][0C][FF][34]
105043765 : Rx: [19][1D][2A][C1][55][94][20][33]
105044015 : Rx: [10][19][94][22][B2][0C][FF][34]
105044265 : Rx: [19][1E][2A][55][56][94][20][33]
105044515 : Rx: [10][19][96][24][96][0C][FF][34]
105044765 : Rx: [19][1F][2B][F2][56][9D][20][33]
105045015 : Rx: [10][19][98][25][E9][0C][FF][34]
105045265 : Rx: [19][20][2C][96][57][A4][20][33]
105045500 : Rx fail
105045750 : Rx: [10][19][9A][27][E3][0D][FF][34]
105046015 : Rx: [10][19][9C][28][E3][0D][FF][34]
105046250 : Rx: [19][22][2F][FD][58][B1][20][33]
105046500 : Rx fail
105046750 : Rx: [19][23][2F][AE][59][B1][20][33]
105047015 : Rx: [10][19][A0][2C][E3][0D][FF][34]
105047265 : Rx: [19][24][2E][5E][5A][B0][20][33]
105047515 : Rx: [10][19][A2][2E][C7][0D][FF][34]
105047750 : Rx: [19][25][2F][11][5B][B3][20][33]
105048000 : Rx: [10][19][A4][2F][E3][0D][FF][34]
105048265 : Rx: [19][26][2E][BD][5B][AC][20][33]
105048500 : Rx: [10][19][A6][30][C7][0D][FF][34]
105048765 : Rx: [19][27][2E][6C][5C][AF][20][33]
105049015 : Rx: [10][19][A8][33][52][0E][FF][34]
105049265 : Rx: [19][28][30][26][5D][BA][20][33]
105049515 : Rx: [10][19][AA][34][36][0E][FF][34]
105049750 : Rx: [19][29][30][E0][5D][BA][20][33]
105050000 : Rx: [10][19][AC][36][36][0E][FF][34]
105050265 : Rx: [50][FF][FF][01][59][00][54][0B]
105050515 : Rx: [50][FF][FF][01][59][00][54][0B]
105050750 : Rx: [19][2A][37][8F][5E][AF][20][33]
105051000 : Rx: [10][19][B0][39][1B][0E][FF][34]
105051265 : Rx: [19][2B][37][46][5F][B7][20][33]
105051515 : Rx: [10][19][B2][3B][1B][0E][FF][34]
105051750 : Rx fail
105052000 : Rx fail
105052250 : Rx: [19][2D][37][C9][60][C1][20][33]
105052515 : Rx: [10][19][B6][3E][8A][0E][FF][34]
105052765 : Rx: [19][2E][37][8B][61][C2][20][33]
105053015 : Rx: [10][19][B8][41][C1][0E][FF][34]
105053250 : Rx: [19][2F][3A][51][62][C6][20][33]
105053500 : Rx: [10][19][BA][42][15][0F][FF][34]
105053765 : Rx: [19][30][3A][1D][63][CC][20][33]
105054015 : Rx: [10][19][BC][44][15][0F][FF][34]
105054265 : Rx: [19][31][3A][EF][63][D2][20][33]
105054515 : Rx: [10][19][BE][46][4C][0F][FF][34]
105054765 : Rx: [19][32][3A][C4][64][D5][20][33]
105055015 : Rx: [10][19][C0][48][68][0F][FF][34]
105055265 : Rx: [19][33][3A][98][65][D4][20][33]
105055515 : Rx: [10][19][C2][4A][4C][0F][FF][34]
105055765 : Rx: [19][34][3A][6A][66][D2][20][33]
105056000 : Rx: [10][19][C4][4C][4C][0F][FF][34]
105056250 : Rx: [19][35][3F][48][67][DE][20][33]
105056515 : Rx: [10][19][C6][4E][BB][0F][FF][34]
105056750 : Rx: [19][36][3F][23][68][DB][20][33]
105057000 : Rx: [10][19][C8][50][BB][0F][FF][34]
105057265 : Rx: [19][37][3F][02][69][DF][20][33]
105057515 : Rx: [10][19][CA][52][D7][0F][FF][34]
105057765 : Rx fail
105058000 : Rx: [10][19][CC][53][D7][0F][FF][34]
105058265 : Rx: [19][39][3F][BC][6A][DD][20][33]
105058500 : Rx: [10][19][CE][55][0F][10][FF][34]
105058765 : Rx: [F0][00][00][00][00][00][00][00]
105059000 : Rx: [10][19][D0][57][2A][10][FF][34]
105059250 : Rx: [19][3A][43][A6][6B][EA][20][33]
105059515 : Rx: [10][19][D2][59][62][10][FF][34]
105059765 : Rx: [19][3B][43][93][6C][ED][20][33]
105060015 : Rx: [10][19][D4][5B][9A][10][FF][34]
105060250 : Rx: [19][3C][43][84][6D][F1][20][33]
105060500 : Rx: [10][19][D6][5D][62][10][FF][34]
105060765 : Rx: [19][3D][43][6B][6E][E7][20][33]
105061000 : Rx: [10][19][D8][5F][9A][10][FF][34]
105061250 : Rx: [19][3E][43][52][6F][E7][20][33]
105061515 : Rx: [10][19][DA][61][62][10][FF][34]
105061750 : Rx: [19][3F][43][3E][70][EC][20][33]
105062015 : Rx: [10][19][DC][62][7E][10][FF][34]
105062265 : Rx: [19][40][47][26][71][E8][20][33]
105062500 : Rx: [10][19][DE][65][9A][10][FF][34]
105062750 : Rx: [19][41][47][14][72][EE][20][33]
105063015 : Rx: [10][19][E0][68][9A][10][FF][34]
105063265 : Rx: [19][42][47][02][73][EE][20][33]
105063500 : Rx: [10][19][E2][6A][09][11][FF][34]
105063765 : Rx: [19][43][47][04][74][02][21][33]
105064015 : Rx: [10][19][E4][6C][78][11][FF][34]
105064265 : Rx fail
105064500 : Rx fail
105064750 : Rx fail
105065000 : Rx: [19][45][47][29][76][10][21][33]
105065250 : Rx: [19][46][4A][39][77][10][21][33]
105065515 : Rx: [10][19][EA][72][78][11][FF][34]
105065750 : Rx: [19][47][4A][27][78][EE][20][33]
105066000 : Rx: [10][19][EC][74][94][11][FF][34]
105066250 : Rx: [19][48][4A][20][79][F9][20][33]
105066500 : Rx: [10][19][EE][77][40][11][FF][34]
105066765 : Rx: [51][FF][02][14][87][9E][5C][33]
105067015 : Rx: [51][FF][02][14][87][9E][5C][33]
105067250 : Rx: [19][49][4A][35][7A][15][21][33]
105067500 : Rx: [10][19][F2][7B][1E][12][FF][34]
105067765 : Rx: [19][4A][4C][45][7B][10][21][33]
105068000 : Rx: [10][19][F4][7D][CB][11][FF][34]
105068250 : Rx: [19][4B][4C][49][7C][04][21][33]
105068515 : Rx: [10][19][F6][7F][03][12][FF][34]
105068765 : Rx: [19][4C][4C][4F][7D][06][21][33]
105069000 : Rx fail
105069250 : Rx: [10][19][F8][82][CB][11][FF][34]
105069515 : Rx: [10][19][FA][84][56][12][FF][34]
105069750 : Rx fail
105070000 : Rx: [19][4E][4C][89][7F][21][21][33]
105070265 : Rx: [19][4F][4F][A6][80][1D][21][33]
105070500 : Rx fail
105070750 : Rx: [10][19][FE][88][72][12][FF][34]
105071000 : Rx: [10][19][00][8B][8E][12][FF][34]
105071265 : Rx fail
105071515 : Rx: [19][51][4F][D2][82][16][21][33]
105071750 : Rx: [19][52][4F][08][84][36][21][30]
105072000 : Rx fail
105072250 : Rx fail
105072515 : Rx: [10][19][04][8F][50][13][FF][34]
105072765 : Rx fail
105073015 : Rx fail
105073250 : Rx: [19][54][52][60][86][29][21][33]
105073500 : Rx fail
105073750 : Rx fail
105074015 : Rx: [10][19][0A][96][C5][12][FF][34]
105074265 : Rx fail
105074500 : Rx fail
105074750 : Rx: [19][57][52][CF][89][25][21][33]
105075000 : Rx fail
105075265 : Rx fail
105075500 : Rx: [10][19][10][9D][FD][12][FF][34]
105075750 : Rx: [19][59][55][33][8C][40][21][33]
105076000 : Rx: [10][19][14][A2][F7][13][FF][34]
105076250 : Rx: [19][5A][55][7C][8D][49][21][33]
105076500 : Rx: [10][19][16][A5][82][14][FF][34]
105076765 : Rx: [19][5B][55][BE][8E][42][21][33]
105077015 : Rx: [10][19][18][A7][F7][13][FF][34]
105077265 : Rx: [19][5C][55][EF][8F][31][21][33]
105077500 : Rx: [10][19][1A][A9][88][13][FF][34]
105077750 : Rx: [19][5D][55][18][91][29][21][33]
105078000 : Rx fail
105078250 : Rx fail
105078500 : Rx: [10][19][1E][AE][34][13][FF][34]
