*** New Session***
31-7-2018 14:33:32
Product Name: Flow -30
81444265 : Rx: [10][19][CF][C2][1F][29][FF][34]
81444515 : Rx: [19][E0][50][E7][35][CD][20][33]
81444765 : Rx: [10][19][D1][C7][AA][29][FF][34]
81445015 : Rx: [19][E1][51][B4][36][CD][20][33]
81445265 : Rx: [10][19][D3][CC][C6][29][FF][34]
81445515 : Rx: [19][E2][51][81][37][CD][20][33]
81445765 : Rx: [10][19][D5][D2][AA][29][FF][34]
81446015 : Rx: [19][E3][51][4E][38][CD][20][33]
81446265 : Rx: [10][19][D7][D7][E2][29][FF][34]
81446515 : Rx: [19][E4][51][1B][39][CD][20][33]
81446765 : Rx: [10][19][D9][DC][FE][29][FF][34]
81447015 : Rx fail
81447265 : Rx: [10][19][DB][E2][88][2A][FF][34]
81447515 : Rx: [19][E6][51][B5][3A][CD][20][33]
81447765 : Rx: [10][19][DD][E7][C0][2A][FF][34]
81448015 : Rx: [51][FF][01][16][8D][2B][00][00]
81448265 : Rx: [51][FF][01][16][8D][2B][00][00]
81448515 : Rx: [19][E7][53][87][3B][D2][20][33]
81448765 : Rx: [10][19][E1][F2][82][2B][FF][34]
81449015 : Rx: [19][E8][57][59][3C][D2][20][33]
81449265 : Rx fail
81449515 : Rx fail
81449765 : Rx: [10][19][E5][FE][D6][2B][FF][34]
81450015 : Rx fail
81450265 : Rx fail
81450515 : Rx: [19][EB][59][DB][3E][D8][20][33]
81450765 : Rx: [10][19][E9][09][76][2D][FF][34]
81451015 : Rx: [19][EC][5A][B3][3F][D8][20][33]
81451265 : Rx fail
81451515 : Rx: [19][ED][5A][8B][40][D8][20][33]
81451765 : Rx: [10][19][ED][15][01][2E][FF][34]
81452015 : Rx: [19][EE][5B][6D][41][E2][20][33]
81452265 : Rx: [10][19][EF][1B][E6][2D][FF][34]
81452515 : Rx: [19][EF][5B][4F][42][E2][20][33]
81452765 : Rx fail
81453015 : Rx: [19][F0][5A][31][43][E2][20][33]
81453265 : Rx: [10][19][F3][24][39][2E][FF][34]
81453515 : Rx fail
81453765 : Rx: [10][19][F5][2D][55][2E][FF][34]
81454015 : Rx fail
81454265 : Rx fail
81454515 : Rx fail
81454765 : Rx: [10][19][F9][38][FB][2E][FF][34]
81455015 : Rx: [19][F4][5C][C5][46][E6][20][33]
81455265 : Rx fail
81455515 : Rx: [19][F5][5C][AB][47][E6][20][33]
81455765 : Rx: [10][19][FD][45][4F][2F][FF][34]
81456015 : Rx: [19][F6][5B][96][48][EB][20][33]
81456265 : Rx: [10][19][FF][4B][4F][2F][FF][34]
81456515 : Rx: [F0][00][00][00][00][00][00][00]
81456765 : Rx: [10][19][01][51][11][30][FF][34]
81457015 : Rx: [19][F7][5B][81][49][EB][20][33]
81457265 : Rx: [10][19][03][57][D4][30][FF][34]
81457515 : Rx: [19][F8][5B][6C][4A][EB][20][33]
81457765 : Rx: [10][19][05][5D][7A][31][FF][34]
81458015 : Rx fail
81458265 : Rx: [10][19][07][64][90][32][FF][34]
81458515 : Rx: [19][FA][5E][54][4C][F4][20][33]
81458765 : Rx: [10][19][09][6A][FF][32][FF][34]
81459015 : Rx: [19][FB][62][48][4D][F4][20][33]
81459265 : Rx: [10][19][0B][71][A6][33][FF][34]
81459515 : Rx: [19][FC][63][3C][4E][F4][20][33]
81459765 : Rx: [10][19][0D][78][84][34][FF][34]
81460015 : Rx: [19][FD][63][30][4F][F4][20][33]
81460265 : Rx: [10][19][0F][7E][31][34][FF][34]
81460515 : Rx: [19][FE][63][33][50][03][21][33]
81460765 : Rx: [10][19][11][85][F9][33][FF][34]
81461015 : Rx: [19][FF][63][36][51][03][21][33]
81461265 : Rx: [10][19][13][8C][0F][35][FF][34]
81461515 : Rx: [19][00][63][39][52][03][21][33]
81461765 : Rx: [10][19][15][92][84][34][FF][34]
81462015 : Rx fail
81462265 : Rx fail
81462515 : Rx: [19][02][64][45][54][09][21][33]
81462765 : Rx fail
81463015 : Rx fail
81463265 : Rx: [10][19][1B][A7][1F][37][FF][34]
81463515 : Rx: [19][04][69][57][56][09][21][33]
81463765 : Rx: [10][19][1D][AE][AA][37][FF][34]
81464015 : Rx: [19][05][6C][60][57][09][21][33]
81464265 : Rx: [10][19][1F][B2][6C][38][FF][34]
81464515 : Rx: [50][FF][FF][01][59][00][C0][08]
81464765 : Rx: [50][FF][FF][01][59][00][C0][08]
81465015 : Rx: [19][06][6F][78][58][18][21][33]
81465265 : Rx: [10][19][23][C4][13][39][FF][34]
81465515 : Rx: [19][07][70][90][59][18][21][33]
81465765 : Rx: [10][19][25][C8][13][39][FF][34]
81466015 : Rx: [19][08][70][A8][5A][18][21][33]
81466265 : Rx: [10][19][27][D3][2E][39][FF][34]
81466515 : Rx: [19][09][6F][C0][5B][18][21][33]
81466765 : Rx: [10][19][29][DA][98][3A][FF][34]
81467015 : Rx: [19][0A][70][DF][5C][1F][21][33]
81467265 : Rx: [10][19][2B][DE][98][3A][FF][34]
81467515 : Rx: [19][0B][70][FE][5D][1F][21][33]
81467765 : Rx: [10][19][2D][EA][54][3C][FF][34]
81468015 : Rx fail
81468265 : Rx fail
81468515 : Rx: [19][0D][77][4B][60][2E][21][33]
81468765 : Rx: [10][19][31][F6][4E][3D][FF][34]
81469015 : Rx: [19][0E][77][79][61][2E][21][33]
81469265 : Rx: [10][19][33][01][16][3D][FF][34]
81469515 : Rx: [19][0F][77][A7][62][2E][21][33]
81469765 : Rx: [10][19][35][01][16][3D][FF][34]
81470015 : Rx: [19][10][7A][D5][63][2E][21][33]
81470265 : Rx: [10][19][37][0D][9B][3E][FF][34]
81470515 : Rx: [19][11][7A][03][65][2E][21][33]
81470765 : Rx: [10][19][39][19][CD][3F][FF][34]
81471015 : Rx: [19][12][7B][3D][66][3A][21][33]
81471265 : Rx: [10][19][3B][22][1A][41][FF][34]
81471515 : Rx: [19][13][7D][77][67][3A][21][33]
81471765 : Rx: [10][19][3D][2A][DD][41][FF][34]
81472015 : Rx: [19][14][7D][B1][68][3A][21][33]
81472265 : Rx: [10][19][3F][2E][DD][41][FF][34]
81472515 : Rx: [19][15][7F][00][6A][4F][21][33]
81472765 : Rx: [10][19][41][3B][D1][43][FF][34]
81473015 : Rx: [F0][00][00][00][00][00][00][00]
81473265 : Rx fail
81473515 : Rx: [10][19][43][44][77][44][FF][34]
81473765 : Rx: [10][19][45][4C][1A][41][FF][34]
81474015 : Rx: [19][17][7F][9E][6C][4F][21][30]
81474265 : Rx fail
81474515 : Rx: [19][18][7F][ED][6D][4F][21][33]
81474765 : Rx: [10][19][49][5B][2E][39][FF][34]
81475015 : Rx fail
81475265 : Rx fail
81475515 : Rx fail
81475765 : Rx: [10][19][4D][65][21][32][FF][34]
81476015 : Rx: [19][1B][00][E9][71][54][21][33]
81476265 : Rx: [10][19][4F][6D][BA][2B][FF][34]
81476515 : Rx fail
81476765 : Rx: [10][19][51][73][79][28][FF][34]
81477015 : Rx: [19][1D][00][1F][74][E2][20][33]
81477265 : Rx: [10][19][53][77][53][25][FF][34]
81477515 : Rx: [19][1E][42][01][75][E2][20][33]
81477765 : Rx: [10][19][55][7B][49][22][FF][34]
81478015 : Rx: [19][1F][3C][E3][75][E2][20][33]
81478265 : Rx: [10][19][57][7F][5B][1F][FF][34]
81478515 : Rx: [19][20][00][C5][76][E2][20][33]
81478765 : Rx fail
81479015 : Rx: [10][19][59][82][D3][19][FF][34]
81479265 : Rx: [10][19][5B][85][38][17][FF][34]
81479515 : Rx fail
81479765 : Rx: [19][22][00][EB][77][93][20][33]
81480015 : Rx: [19][23][00][7E][78][93][20][33]
81480265 : Rx fail
81480515 : Rx: [10][19][5F][8A][56][12][FF][34]
81480765 : Rx: [10][19][61][8C][0F][10][FF][34]
81481015 : Rx fail
81481265 : Rx: [51][FF][01][16][8D][2B][00][00]
81481515 : Rx: [19][25][00][59][79][48][20][33]
81481765 : Rx fail
81482015 : Rx fail
81482265 : Rx: [10][19][65][8F][33][0A][FF][34]
81482515 : Rx fail
81482765 : Rx fail
81483015 : Rx: [19][27][00][E9][79][48][20][33]
81483265 : Rx fail
81483515 : Rx fail
81483765 : Rx: [10][19][6B][91][A4][05][FF][34]
81484015 : Rx fail
81484265 : Rx fail
81484515 : Rx: [19][2A][00][2E][7A][17][20][33]
81484765 : Rx fail
81485015 : Rx fail
81485265 : Rx: [10][19][71][92][31][01][FF][34]
81485515 : Rx fail
81485765 : Rx: [19][2D][00][45][7A][00][20][20]
81486015 : Rx fail
81486265 : Rx: [10][19][71][92][00][00][FF][24]
81486515 : Rx: [19][2F][00][45][7A][00][20][20]
81486765 : Rx: [10][19][71][92][00][00][FF][24]
81487015 : Rx: [19][30][00][45][7A][00][20][20]
81487265 : Rx: [10][19][71][92][00][00][FF][24]
81487515 : Rx: [19][31][00][45][7A][00][20][20]
81487765 : Rx: [10][19][71][92][00][00][FF][24]
81488015 : Rx: [19][32][00][45][7A][00][20][20]
81488265 : Rx: [10][19][71][92][00][00][FF][24]
81488515 : Rx: [19][33][00][45][7A][00][20][20]
81488765 : Rx fail
81489000 : Rx fail
81489265 : Rx: [10][19][71][92][00][00][FF][24]
81489500 : Rx: [F0][00][00][00][00][00][00][00]
81489750 : Rx: [10][19][71][92][00][00][FF][24]
81490000 : Rx fail
