*** New Session***
25-7-2018 15:56:54
Product Name: 30 Flux
25350937 : Rx: [10][19][4C][F5][82][06][FF][34]
25351187 : Rx fail
25351437 : Rx fail
25351687 : Rx: [19][27][24][A6][71][4D][20][33]
25351937 : Rx: [10][19][50][F6][D6][06][FF][34]
25352187 : Rx: [19][28][22][F0][71][4A][20][33]
25352437 : Rx: [10][19][52][F8][9E][06][FF][34]
25352687 : Rx: [19][29][25][41][72][51][20][33]
25352937 : Rx: [10][19][54][F8][66][06][FF][34]
25353187 : Rx: [19][2A][21][78][72][37][20][33]
25353437 : Rx: [10][19][56][F9][0D][07][FF][34]
25353687 : Rx: [19][2B][25][CA][72][52][20][33]
25353937 : Rx: [10][19][58][FA][9E][06][FF][34]
25354187 : Rx: [19][2C][26][21][73][57][20][33]
25354437 : Rx fail
25354687 : Rx: [19][2D][26][73][73][52][20][33]
25354937 : Rx: [10][19][5C][FC][45][07][FF][34]
25355187 : Rx: [19][2E][27][C8][73][55][20][33]
25355437 : Rx: [10][19][5E][FD][D6][06][FF][34]
25355687 : Rx fail
25355937 : Rx: [10][19][60][FE][60][07][FF][34]
25356187 : Rx fail
25356437 : Rx: [19][30][26][58][74][55][20][33]
25356687 : Rx: [51][FF][02][14][87][9E][5C][33]
25356937 : Rx: [51][FF][02][14][87][9E][5C][33]
25357187 : Rx: [19][31][26][AA][74][52][20][33]
25357437 : Rx: [10][19][66][00][60][07][FF][34]
25357687 : Rx fail
25357937 : Rx: [10][19][68][01][B4][07][FF][34]
25358187 : Rx: [19][33][27][55][75][53][20][33]
25358437 : Rx: [10][19][6A][02][D0][07][FF][34]
25358687 : Rx: [19][34][29][AE][75][59][20][33]
25358937 : Rx: [10][19][6C][02][D0][07][FF][34]
25359187 : Rx: [19][35][29][0A][76][5C][20][33]
25359437 : Rx: [10][19][6E][04][EB][07][FF][34]
25359687 : Rx: [19][36][28][60][76][56][20][33]
25359937 : Rx: [10][19][70][05][B4][07][FF][34]
25360187 : Rx: [19][37][2A][BC][76][5C][20][33]
25360437 : Rx: [10][19][72][06][60][07][FF][34]
25360687 : Rx: [19][38][26][FE][76][42][20][33]
25360937 : Rx: [10][19][74][07][EB][07][FF][34]
25361187 : Rx fail
25361437 : Rx: [10][19][76][08][7C][07][FF][34]
25361687 : Rx: [19][3A][2A][B7][77][5D][20][33]
25361937 : Rx: [10][19][78][09][07][08][FF][34]
25362187 : Rx: [19][3B][26][F9][77][42][20][33]
25362437 : Rx: [10][19][7A][0A][60][07][FF][34]
25362687 : Rx: [19][3C][27][4E][78][55][20][33]
25362937 : Rx: [10][19][7C][0B][7C][07][FF][34]
25363187 : Rx: [19][3D][2A][AD][78][5F][20][33]
25363437 : Rx: [10][19][7E][0C][23][08][FF][34]
25363687 : Rx fail
25363937 : Rx fail
25364187 : Rx: [19][3F][2A][69][79][5D][20][33]
25364437 : Rx fail
25364687 : Rx: [19][40][2C][C8][79][5F][20][33]
25364937 : Rx: [10][19][84][0F][3F][08][FF][34]
25365187 : Rx: [F0][00][00][00][00][00][00][00]
25365437 : Rx: [10][19][86][10][07][08][FF][34]
25365687 : Rx fail
25365937 : Rx: [10][19][88][10][07][08][FF][34]
