*** New Session***
31-7-2018 08:56:19
Product Name: Genius -30
61173921 : Rx: [19][E4][00][90][2D][0B][00][30]
61174171 : Rx: [10][19][67][FE][75][24][FF][34]
61174421 : Rx: [19][E5][00][9F][2D][0F][00][30]
61174671 : Rx: [10][19][69][05][FC][20][FF][34]
61174921 : Rx: [19][E6][00][B4][2D][15][00][30]
61175171 : Rx: [10][19][6B][06][DC][1C][FF][34]
61175421 : Rx: [51][FF][02][13][85][11][00][00]
61175656 : Rx fail
61175906 : Rx fail
61176156 : Rx: [10][19][6F][0D][3A][12][FF][34]
61176406 : Rx fail
61176656 : Rx fail
61176921 : Rx: [19][E9][00][F2][2D][12][00][30]
61177171 : Rx: [10][19][73][11][4E][18][FF][34]
61177421 : Rx: [19][EA][00][02][2E][10][00][30]
61177671 : Rx: [10][19][75][16][95][1A][FF][34]
61177921 : Rx: [19][EB][00][0F][2E][0D][00][30]
61178171 : Rx: [10][19][77][19][C1][1C][FF][34]
61178421 : Rx: [19][EC][00][1B][2E][0C][00][30]
61178671 : Rx: [10][19][79][1C][EC][1E][FF][34]
61178921 : Rx: [19][ED][00][27][2E][0C][00][30]
61179171 : Rx: [10][19][7B][23][B8][22][FF][34]
61179421 : Rx: [19][EE][00][33][2E][0C][00][30]
61179671 : Rx: [10][19][7D][26][B8][22][FF][34]
61179921 : Rx: [19][EF][00][42][2E][0F][00][30]
61180171 : Rx: [10][19][7F][29][67][1D][FF][34]
61180421 : Rx: [19][F0][00][54][2E][12][00][30]
61180656 : Rx fail
61180906 : Rx fail
61181171 : Rx: [19][F1][00][6A][2E][16][00][30]
61181421 : Rx: [19][F2][00][7D][2E][13][00][30]
61181671 : Rx: [10][19][85][32][1C][17][FF][34]
61181921 : Rx: [19][F3][00][8F][2E][12][00][30]
61182171 : Rx: [10][19][87][37][B7][19][FF][34]
61182421 : Rx: [19][F4][00][9F][2E][10][00][30]
61182671 : Rx: [10][19][89][3B][B7][19][FF][34]
61182921 : Rx: [19][F5][00][AB][2E][0C][00][30]
61183171 : Rx: [10][19][8B][3E][D0][1E][FF][34]
61183421 : Rx: [19][F6][00][B6][2E][0B][00][30]
61183671 : Rx: [10][19][8D][3E][D4][22][FF][34]
61183921 : Rx: [F0][00][00][00][00][00][00][00]
61184171 : Rx: [10][19][8F][48][91][24][FF][34]
61184421 : Rx: [19][F7][00][C3][2E][0D][00][30]
61184671 : Rx: [10][19][91][4C][E4][24][FF][34]
61184921 : Rx: [19][F8][00][D3][2E][10][00][30]
61185171 : Rx: [10][19][93][4C][43][23][FF][34]
61185421 : Rx: [19][F9][00][E3][2E][10][00][30]
61185671 : Rx: [10][19][95][54][C7][1B][FF][34]
61185921 : Rx: [19][FA][00][FB][2E][18][00][30]
61186171 : Rx: [10][19][97][54][70][17][FF][34]
61186421 : Rx: [19][FB][00][15][2F][1A][00][30]
61186671 : Rx: [10][19][99][58][E1][12][FF][34]
61186921 : Rx: [19][FC][00][2E][2F][19][00][30]
61187171 : Rx: [10][19][9B][5C][F1][14][FF][34]
61187421 : Rx: [19][FD][00][44][2F][16][00][30]
61187671 : Rx: [10][19][9D][5E][1C][17][FF][34]
61187921 : Rx: [19][FE][00][59][2F][15][00][30]
61188171 : Rx: [10][19][9F][61][AB][1B][FF][34]
61188421 : Rx: [19][FF][00][6C][2F][13][00][30]
61188671 : Rx: [10][19][A1][67][D6][1D][FF][34]
61188921 : Rx: [19][00][00][7B][2F][0F][00][30]
61189171 : Rx fail
61189421 : Rx fail
61189671 : Rx: [10][19][A5][6D][6B][21][FF][34]
61189921 : Rx: [19][02][00][97][2F][0E][00][30]
61190171 : Rx: [10][19][A7][74][43][23][FF][34]
61190421 : Rx: [19][03][00][AA][2F][13][00][30]
61190671 : Rx: [10][19][A9][77][34][21][FF][34]
61190921 : Rx: [19][04][00][C0][2F][16][00][30]
61191171 : Rx: [10][19][AB][77][83][1D][FF][34]
61191421 : Rx: [19][05][00][D6][2F][16][00][30]
61191671 : Rx: [10][19][AD][7C][83][1D][FF][34]
61191921 : Rx: [50][FF][FF][01][59][00][20][08]
61192171 : Rx: [50][FF][FF][01][59][00][20][08]
61192421 : Rx: [19][06][00][EE][2F][18][00][30]
61192671 : Rx: [10][19][B1][82][04][1B][FF][34]
61192921 : Rx: [19][07][00][03][30][15][00][30]
61193171 : Rx: [10][19][B3][88][30][1D][FF][34]
61193421 : Rx: [19][08][18][16][30][13][00][30]
