*** New Session***
31-7-2018 09:00:07
Product Name: Genius 30
61400906 : Rx: [19][8E][26][E3][6C][41][00][30]
61401156 : Rx: [10][19][B3][91][07][08][FF][34]
61401406 : Rx: [19][8F][26][26][6D][43][00][30]
61401656 : Rx: [10][19][B5][92][CA][08][FF][34]
61401906 : Rx: [19][90][26][67][6D][41][00][30]
61402156 : Rx: [10][19][B7][93][23][08][FF][34]
61402406 : Rx: [19][91][27][AC][6D][45][00][30]
61402656 : Rx: [10][19][B9][94][3F][08][FF][34]
61402906 : Rx: [19][92][27][EE][6D][42][00][30]
61403156 : Rx: [10][19][BB][96][01][09][FF][34]
61403406 : Rx: [19][93][27][36][6E][48][00][30]
61403656 : Rx: [10][19][BD][96][E5][08][FF][34]
61403906 : Rx: [19][94][28][7E][6E][48][00][30]
61404156 : Rx fail
61404406 : Rx fail
61404656 : Rx: [10][19][C1][99][1D][09][FF][34]
61404906 : Rx: [19][96][29][11][6F][4B][00][30]
61405156 : Rx: [10][19][C3][9A][1D][09][FF][34]
61405406 : Rx: [19][97][29][5E][6F][4D][00][30]
61405656 : Rx: [10][19][C5][9B][01][09][FF][34]
61405906 : Rx: [19][98][29][AA][6F][4C][00][30]
61406156 : Rx fail
61406406 : Rx: [10][19][C7][9D][70][09][FF][34]
61406656 : Rx: [51][FF][02][13][85][11][00][00]
61406906 : Rx fail
61407156 : Rx: [19][99][2A][FB][6F][51][00][30]
61407406 : Rx: [19][9A][2A][51][70][56][00][30]
61407656 : Rx fail
61407906 : Rx: [10][19][CD][A0][39][09][FF][34]
61408156 : Rx: [10][19][CF][A0][FB][09][FF][34]
61408406 : Rx fail
61408671 : Rx: [19][9C][2C][06][71][59][00][30]
61408906 : Rx: [19][9D][2C][65][71][5F][00][30]
61409156 : Rx fail
61409406 : Rx fail
61409656 : Rx: [10][19][D3][A4][54][09][FF][34]
61409906 : Rx fail
61410156 : Rx fail
61410406 : Rx: [19][9F][2D][22][72][5F][00][30]
61410656 : Rx fail
61410906 : Rx fail
61411156 : Rx: [10][19][D9][A7][FB][09][FF][34]
61411406 : Rx fail
61411656 : Rx fail
61411906 : Rx: [19][A2][2E][44][73][60][00][30]
61412156 : Rx fail
61412406 : Rx fail
61412656 : Rx: [10][19][DF][AB][FB][09][FF][34]
61412906 : Rx fail
61413156 : Rx: [19][A5][2F][76][74][69][00][30]
61413406 : Rx: [19][A6][2F][DB][74][65][00][30]
61413656 : Rx: [10][19][E5][AF][70][09][FF][34]
61413906 : Rx: [19][A7][2F][43][75][68][00][30]
61414156 : Rx: [10][19][E7][B0][17][0A][FF][34]
61414406 : Rx: [19][A8][2F][AB][75][68][00][30]
61414656 : Rx: [10][19][E9][B2][17][0A][FF][34]
61414906 : Rx: [F0][00][00][00][00][00][00][00]
61415156 : Rx: [10][19][EB][B3][54][09][FF][34]
61415406 : Rx: [19][A9][30][15][76][6A][00][30]
61415656 : Rx: [10][19][ED][B4][17][0A][FF][34]
61415906 : Rx: [19][AA][30][7F][76][6A][00][30]
61416156 : Rx: [10][19][EF][B5][C4][09][FF][34]
61416406 : Rx: [19][AB][30][EB][76][6C][00][30]
61416656 : Rx: [10][19][F1][B5][4E][0A][FF][34]
61416906 : Rx: [19][AC][30][54][77][69][00][30]
61417156 : Rx: [10][19][F3][B7][4E][0A][FF][34]
61417406 : Rx: [19][AD][30][C2][77][6E][00][30]
61417656 : Rx: [10][19][F5][B9][70][09][FF][34]
61417906 : Rx: [19][AE][30][32][78][70][00][30]
61418156 : Rx fail
61418406 : Rx fail
61418656 : Rx fail
61418906 : Rx: [19][B0][30][0A][79][6C][00][30]
61419156 : Rx: [10][19][FB][BC][33][0A][FF][34]
61419406 : Rx: [19][B1][30][7A][79][70][00][30]
61419656 : Rx: [10][19][FD][BE][DF][09][FF][34]
61419906 : Rx: [19][B2][31][E7][79][6D][00][30]
61420156 : Rx: [10][19][FF][C0][39][09][FF][34]
61420406 : Rx: [19][B3][31][58][7A][71][00][30]
61420656 : Rx: [10][19][01][C1][6A][0A][FF][34]
61420906 : Rx: [19][B4][31][C9][7A][71][00][30]
61421156 : Rx: [10][19][03][C2][17][0A][FF][34]
61421406 : Rx: [19][B5][31][38][7B][6F][00][30]
61421656 : Rx: [10][19][05][C4][4E][0A][FF][34]
61421906 : Rx: [19][B6][31][A6][7B][6E][00][30]
61422156 : Rx fail
61422406 : Rx: [19][B7][31][14][7C][6E][00][30]
61422656 : Rx: [10][19][09][C5][C4][09][FF][34]
61422906 : Rx: [50][FF][FF][01][59][00][20][08]
61423156 : Rx: [50][FF][FF][01][59][00][20][08]
61423406 : Rx: [19][B8][32][8F][7C][7B][00][30]
61423656 : Rx: [10][19][0D][C9][F5][0A][FF][34]
61423906 : Rx: [19][B9][32][0A][7D][7B][00][30]
61424156 : Rx: [10][19][0F][C9][F5][0A][FF][34]
61424406 : Rx: [19][BA][33][89][7D][7F][00][30]
61424656 : Rx: [10][19][11][CB][F5][0A][FF][34]
61424906 : Rx: [19][BB][33][02][7E][79][00][30]
61425156 : Rx: [10][19][13][CD][FB][09][FF][34]
61425406 : Rx: [19][BC][33][7B][7E][79][00][30]
61425656 : Rx: [10][19][15][CD][DF][09][FF][34]
61425906 : Rx: [19][BD][34][F3][7E][78][00][30]
61426156 : Rx: [10][19][17][D0][6A][0A][FF][34]
61426406 : Rx: [19][BE][33][6F][7F][7C][00][30]
61426671 : Rx: [10][19][19][D1][A2][0A][FF][34]
61426921 : Rx: [19][BF][34][E8][7F][79][00][30]
61427171 : Rx: [10][19][1B][D1][DF][09][FF][34]
61427421 : Rx: [19][C0][34][61][80][79][00][30]
61427671 : Rx: [10][19][1D][D4][FB][09][FF][34]
