*** New Session***
19-7-2018 15:52:21
Product Name: Flux 0W
107255828 : Rx: [10][19][10][53][FB][09][FF][34]
107256078 : Rx: [19][5A][12][5A][F8][00][20][33]
107256328 : Rx: [10][19][12][54][DF][09][FF][34]
107256578 : Rx: [19][5B][11][5A][F8][00][20][33]
107256828 : Rx: [10][19][14][56][8C][09][FF][34]
107257078 : Rx: [19][5C][12][5A][F8][00][20][33]
107257328 : Rx: [10][19][16][57][33][0A][FF][34]
107257578 : Rx: [19][5D][12][5A][F8][00][20][33]
107257828 : Rx: [10][19][18][58][4E][0A][FF][34]
107258078 : Rx: [19][5E][12][5A][F8][00][20][33]
107258328 : Rx: [10][19][1A][59][6A][0A][FF][34]
107258578 : Rx fail
107258828 : Rx: [19][5F][12][5A][F8][00][20][33]
107259078 : Rx: [19][60][12][5A][F8][00][20][33]
107259328 : Rx: [10][19][1E][5C][17][0A][FF][34]
107259578 : Rx: [19][61][12][5A][F8][00][20][33]
107259828 : Rx: [10][19][20][5D][17][0A][FF][34]
107260078 : Rx: [19][62][13][5A][F8][00][20][33]
107260328 : Rx: [10][19][22][5E][6A][0A][FF][34]
107260578 : Rx fail
107260828 : Rx: [10][19][24][60][4E][0A][FF][34]
107261078 : Rx: [50][FF][FF][01][59][00][54][0B]
107261328 : Rx: [50][FF][FF][01][59][00][54][0B]
107261578 : Rx: [19][64][13][5A][F8][00][20][33]
107261828 : Rx: [10][19][28][62][BE][0A][FF][34]
107262078 : Rx: [19][65][12][5A][F8][00][20][33]
107262328 : Rx: [10][19][2A][64][F5][0A][FF][34]
107262578 : Rx: [19][66][13][5A][F8][00][20][33]
107262828 : Rx: [10][19][2C][65][F5][0A][FF][34]
107263078 : Rx: [19][67][13][5A][F8][00][20][33]
107263328 : Rx: [10][19][2E][66][D9][0A][FF][34]
107263578 : Rx: [19][68][14][5A][F8][00][20][33]
107263828 : Rx: [10][19][30][68][48][0B][FF][34]
107264078 : Rx: [19][69][14][5A][F8][00][20][33]
107264328 : Rx: [10][19][32][69][80][0B][FF][34]
107264578 : Rx: [19][6A][13][5A][F8][00][20][33]
107264828 : Rx: [10][19][34][6A][80][0B][FF][34]
107265078 : Rx: [19][6B][14][5A][F8][00][20][33]
107265328 : Rx: [10][19][36][6C][9C][0B][FF][34]
107265578 : Rx: [19][6C][14][5A][F8][00][20][33]
107265828 : Rx: [10][19][38][6D][F5][0A][FF][34]
107266078 : Rx: [19][6D][13][5A][F8][00][20][33]
107266328 : Rx: [10][19][3A][6F][11][0B][FF][34]
107266578 : Rx: [19][6E][14][5A][F8][00][20][33]
107266828 : Rx: [10][19][3C][70][64][0B][FF][34]
107267078 : Rx: [19][6F][13][5A][F8][00][20][33]
107267328 : Rx: [10][19][3E][71][B8][0B][FF][34]
107267578 : Rx: [19][70][15][89][F8][2F][20][33]
107267828 : Rx: [10][19][40][73][D3][0B][FF][34]
107268078 : Rx: [19][71][15][89][F8][00][20][33]
107268328 : Rx fail
107268578 : Rx fail
107268828 : Rx: [10][19][44][76][5E][0C][FF][34]
107269078 : Rx: [19][73][16][B8][F8][2F][20][33]
107269328 : Rx: [10][19][46][77][5E][0C][FF][34]
107269578 : Rx: [F0][00][00][00][00][00][00][00]
107269828 : Rx: [10][19][48][79][CD][0C][FF][34]
107270078 : Rx: [19][74][17][EB][F8][33][20][33]
