*** New Session***
19-7-2018 15:18:48
Product Name: Flux -30%
105203250 : Rx: [19][49][3C][1C][DA][52][20][33]
105203500 : Rx: [10][19][5A][BC][1E][12][FF][34]
105203765 : Rx: [19][4A][3C][1C][DA][00][20][33]
105204015 : Rx: [10][19][5C][BE][ED][10][FF][34]
105204265 : Rx: [19][4B][3C][1C][DA][00][20][33]
105204515 : Rx: [10][19][5E][C0][30][0F][FF][34]
105204750 : Rx: [19][4C][3C][1C][DA][00][20][33]
105205000 : Rx: [10][19][60][C1][30][0F][FF][34]
105205265 : Rx: [19][4D][3C][49][DA][2D][20][33]
105205515 : Rx: [10][19][62][C4][36][0E][FF][34]
105205750 : Rx: [19][4E][3C][9A][DA][51][20][33]
105206000 : Rx: [10][19][64][C6][4C][0F][FF][34]
105206250 : Rx fail
105206500 : Rx fail
105206765 : Rx: [19][50][3C][32][DB][52][20][33]
105207015 : Rx: [10][19][68][C9][7E][10][FF][34]
105207250 : Rx: [F0][00][00][00][00][00][00][00]
105207500 : Rx: [10][19][6A][CC][D1][10][FF][34]
105207750 : Rx: [19][51][3C][83][DB][51][20][33]
105208015 : Rx: [10][19][6C][CE][5C][11][FF][34]
105208265 : Rx: [19][52][39][DA][DB][57][20][33]
105208515 : Rx: [10][19][6E][D0][AF][11][FF][34]
105208750 : Rx: [19][53][39][36][DC][5C][20][33]
105209000 : Rx: [10][19][70][D2][72][12][FF][34]
105209265 : Rx: [19][54][39][92][DC][5C][20][33]
105209515 : Rx: [10][19][72][D4][8E][12][FF][34]
105209750 : Rx: [19][55][39][EE][DC][5C][20][33]
105210000 : Rx: [10][19][74][D7][E1][12][FF][34]
105210265 : Rx: [19][56][39][4F][DD][61][20][33]
105210500 : Rx: [10][19][76][D9][18][13][FF][34]
105210750 : Rx: [19][57][34][BB][DD][6C][20][33]
105211000 : Rx: [10][19][78][DB][BF][13][FF][34]
105211265 : Rx: [19][58][34][20][DE][65][20][33]
105211515 : Rx: [10][19][7A][DE][66][14][FF][34]
105211765 : Rx: [19][59][34][8E][DE][6E][20][33]
105212000 : Rx: [10][19][7C][E0][B9][14][FF][34]
105212250 : Rx: [19][5A][34][FC][DE][6E][20][33]
105212515 : Rx: [10][19][7E][E3][D5][14][FF][34]
105212765 : Rx: [19][5B][34][6A][DF][6E][20][33]
105213015 : Rx: [10][19][80][E6][F1][14][FF][34]
105213265 : Rx: [19][5C][36][D7][DF][6D][20][33]
105213500 : Rx: [10][19][82][E8][D5][14][FF][34]
105213750 : Rx: [19][5D][36][44][E0][6D][20][33]
105214015 : Rx: [10][19][84][EA][D5][14][FF][34]
105214265 : Rx: [19][5E][36][B2][E0][6E][20][33]
105214515 : Rx: [10][19][86][ED][60][15][FF][34]
105214765 : Rx: [19][5F][36][24][E1][72][20][33]
105215015 : Rx: [10][19][88][F0][60][15][FF][34]
105215265 : Rx: [50][FF][FF][01][59][00][54][0B]
105215515 : Rx: [50][FF][FF][01][59][00][54][0B]
105215750 : Rx: [19][60][38][9A][E1][76][20][33]
105216015 : Rx: [10][19][8C][F5][06][16][FF][34]
105216250 : Rx: [19][61][38][16][E2][7C][20][33]
105216515 : Rx: [10][19][8E][F8][76][16][FF][34]
105216750 : Rx: [19][62][38][8F][E2][79][20][33]
105217015 : Rx: [10][19][90][FB][22][16][FF][34]
105217265 : Rx fail
105217515 : Rx: [19][63][38][02][E3][73][20][33]
105217750 : Rx fail
105218000 : Rx fail
105218265 : Rx: [19][65][43][EE][E3][77][20][33]
105218515 : Rx: [10][19][96][03][06][16][FF][34]
105218765 : Rx: [19][66][43][6F][E4][81][20][33]
105219000 : Rx: [10][19][98][06][00][17][FF][34]
105219265 : Rx: [19][67][43][ED][E4][7E][20][33]
105219500 : Rx: [10][19][9A][08][54][17][FF][34]
105219765 : Rx: [19][68][46][6D][E5][80][20][33]
105220015 : Rx: [10][19][9C][0B][A7][17][FF][34]
105220265 : Rx: [19][69][46][EF][E5][82][20][33]
105220500 : Rx: [10][19][9E][0E][A7][17][FF][34]
105220750 : Rx: [19][6A][46][74][E6][85][20][33]
105221015 : Rx: [10][19][A0][11][FA][17][FF][34]
105221250 : Rx: [19][6B][46][F9][E6][85][20][33]
105221500 : Rx: [10][19][A2][14][32][18][FF][34]
105221765 : Rx: [19][6C][40][7F][E7][86][20][33]
105222000 : Rx: [10][19][A4][17][32][18][FF][34]
105222250 : Rx: [19][6D][40][05][E8][86][20][33]
105222515 : Rx: [10][19][A6][1A][6A][18][FF][34]
105222765 : Rx: [19][6E][40][8D][E8][88][20][33]
105223015 : Rx: [10][19][A8][1D][6A][18][FF][34]
105223265 : Rx: [19][6F][40][11][E9][84][20][33]
105223500 : Rx: [10][19][AA][20][32][18][FF][34]
105223750 : Rx: [F0][00][00][00][00][00][00][00]
105224000 : Rx: [10][19][AC][20][32][18][FF][34]
105224265 : Rx: [19][70][42][AF][E9][9E][20][33]
105224500 : Rx: [10][19][AE][26][7F][19][FF][34]
105224765 : Rx: [19][71][42][41][EA][92][20][33]
105225015 : Rx: [10][19][B0][29][0A][1A][FF][34]
105225265 : Rx: [19][72][42][DA][EA][99][20][33]
