*** New Session***
25-7-2018 15:50:14
Product Name: Flux -30
24962437 : Rx: [10][19][87][4D][3F][08][FF][34]
24962671 : Rx: [19][4C][10][5E][49][00][20][33]
24962921 : Rx fail
24963187 : Rx: [19][4D][12][5E][49][00][20][33]
24963437 : Rx: [10][19][8B][50][CA][08][FF][34]
24963687 : Rx: [19][4E][12][5E][49][00][20][33]
24963921 : Rx: [10][19][8D][50][CA][08][FF][34]
24964171 : Rx: [19][4F][11][5E][49][00][20][33]
24964437 : Rx: [10][19][8F][51][5A][08][FF][34]
24964687 : Rx: [19][50][11][5E][49][00][20][33]
24964937 : Rx fail
24965187 : Rx: [19][51][12][5E][49][00][20][33]
24965437 : Rx fail
24965687 : Rx fail
24965937 : Rx: [10][19][95][55][1D][09][FF][34]
24966171 : Rx fail
24966437 : Rx: [10][19][97][55][1D][09][FF][34]
24966687 : Rx: [19][54][12][5E][49][00][20][33]
24966937 : Rx: [10][19][99][56][1D][09][FF][34]
24967171 : Rx fail
24967437 : Rx: [10][19][9B][58][54][09][FF][34]
24967687 : Rx: [19][56][13][5E][49][00][20][33]
24967937 : Rx: [10][19][9D][58][54][09][FF][34]
24968171 : Rx: [19][57][13][5E][49][00][20][33]
24968437 : Rx: [10][19][9F][5A][54][09][FF][34]
24968671 : Rx: [19][58][13][5E][49][00][20][33]
24968937 : Rx: [10][19][A1][5B][54][09][FF][34]
24969187 : Rx: [F0][00][00][00][00][00][00][00]
24969437 : Rx: [10][19][A3][5C][70][09][FF][34]
24969687 : Rx: [19][59][12][5E][49][00][20][33]
24969937 : Rx: [10][19][A5][5E][1D][09][FF][34]
24970187 : Rx: [19][5A][12][5E][49][00][20][33]
24970437 : Rx fail
24970687 : Rx: [19][5B][13][5E][49][00][20][33]
24970937 : Rx: [10][19][A9][60][39][09][FF][34]
24971171 : Rx fail
24971437 : Rx: [10][19][AB][61][CA][08][FF][34]
24971687 : Rx: [19][5D][13][5E][49][00][20][33]
24971937 : Rx: [10][19][AD][62][39][09][FF][34]
24972187 : Rx: [19][5E][13][5E][49][00][20][33]
24972437 : Rx: [10][19][AF][63][1D][09][FF][34]
24972671 : Rx: [19][5F][12][5E][49][00][20][33]
24972937 : Rx: [10][19][B1][64][54][09][FF][34]
24973187 : Rx: [19][60][13][5E][49][00][20][33]
24973437 : Rx: [10][19][B3][65][A8][09][FF][34]
24973687 : Rx: [19][61][13][5E][49][00][20][33]
24973937 : Rx: [10][19][B5][67][8C][09][FF][34]
24974187 : Rx: [19][62][13][5E][49][00][20][33]
24974437 : Rx: [10][19][B7][68][8C][09][FF][34]
24974687 : Rx fail
24974937 : Rx fail
24975187 : Rx: [10][19][B9][69][FB][09][FF][34]
24975437 : Rx: [10][19][BB][6A][70][09][FF][34]
24975687 : Rx fail
24975937 : Rx: [10][19][BD][6B][DF][09][FF][34]
24976187 : Rx fail
24976421 : Rx: [10][19][BF][6D][DF][09][FF][34]
24976687 : Rx: [19][67][14][5E][49][00][20][33]
24976921 : Rx fail
24977187 : Rx: [50][FF][FF][01][59][00][54][0B]
24977437 : Rx: [50][FF][FF][01][59][00][54][0B]
24977687 : Rx: [19][68][15][5E][49][00][20][33]
24977937 : Rx: [10][19][C5][70][DF][09][FF][34]
24978187 : Rx fail
24978437 : Rx fail
24978687 : Rx fail
24978937 : Rx: [10][19][C9][72][6A][0A][FF][34]
24979187 : Rx fail
24979421 : Rx fail
24979687 : Rx: [19][6C][15][5E][49][00][20][33]
24979937 : Rx: [10][19][CD][75][BE][0A][FF][34]
24980187 : Rx: [19][6D][16][5E][49][00][20][33]
24980437 : Rx: [10][19][CF][77][33][0A][FF][34]
24980687 : Rx: [19][6E][15][5E][49][00][20][33]
24980937 : Rx fail
24981187 : Rx: [19][6F][16][5E][49][00][20][33]
24981421 : Rx: [10][19][D3][79][BE][0A][FF][34]
24981687 : Rx: [19][70][16][5E][49][00][20][33]
24981937 : Rx: [10][19][D5][7B][A2][0A][FF][34]
24982187 : Rx: [19][71][16][5E][49][00][20][33]
24982437 : Rx: [10][19][D7][7C][80][0B][FF][34]
24982687 : Rx: [19][72][17][5E][49][00][20][33]
24982937 : Rx: [10][19][D9][7D][BE][0A][FF][34]
24983187 : Rx: [19][73][16][5E][49][00][20][33]
24983437 : Rx: [10][19][DB][7F][BE][0A][FF][34]
24983687 : Rx: [19][74][16][5E][49][00][20][33]
24983937 : Rx: [10][19][DD][80][D9][0A][FF][34]
24984187 : Rx: [19][75][16][5E][49][00][20][33]
24984437 : Rx: [10][19][DF][81][F5][0A][FF][34]
24984687 : Rx: [19][76][16][5E][49][00][20][33]
24984937 : Rx: [10][19][E1][83][64][0B][FF][34]
24985187 : Rx: [19][77][17][5E][49][00][20][33]
24985421 : Rx: [10][19][E3][84][F5][0A][FF][34]
24985687 : Rx: [F0][00][00][00][00][00][00][00]
24985937 : Rx: [10][19][E5][85][9C][0B][FF][34]
24986187 : Rx fail
24986437 : Rx: [10][19][E7][87][9C][0B][FF][34]
24986687 : Rx: [19][79][18][5E][49][00][20][33]
24986937 : Rx: [10][19][E9][88][27][0C][FF][34]
24987187 : Rx: [19][7A][19][8D][49][2F][20][33]
24987421 : Rx: [10][19][EB][8A][B8][0B][FF][34]
24987687 : Rx: [19][7B][18][8D][49][00][20][33]
24987937 : Rx: [10][19][ED][8B][9C][0B][FF][34]
24988187 : Rx: [19][7C][18][8D][49][00][20][33]
24988421 : Rx: [10][19][EF][8D][EF][0B][FF][34]
24988687 : Rx: [19][7D][18][8D][49][00][20][33]
24988937 : Rx: [10][19][F1][8E][9C][0B][FF][34]
24989187 : Rx: [19][7E][18][8D][49][00][20][33]
24989437 : Rx: [10][19][F3][8F][D3][0B][FF][34]
24989687 : Rx: [19][7F][18][8D][49][00][20][33]
24989937 : Rx: [10][19][F5][91][64][0B][FF][34]
24990187 : Rx: [19][80][17][8D][49][00][20][33]
24990437 : Rx: [10][19][F7][92][D3][0B][FF][34]
24990687 : Rx: [19][81][18][8D][49][00][20][33]
24990937 : Rx: [10][19][F9][94][B8][0B][FF][34]
24991187 : Rx: [19][82][18][8D][49][00][20][33]
24991437 : Rx: [10][19][FB][95][D3][0B][FF][34]
24991671 : Rx fail
24991921 : Rx fail
24992187 : Rx: [19][84][18][BA][49][00][20][33]
24992421 : Rx fail
24992687 : Rx: [19][85][18][BA][49][00][20][33]
24992921 : Rx: [10][19][01][99][D3][0B][FF][34]
24993187 : Rx: [19][86][18][BA][49][00][20][33]
24993421 : Rx fail
24993687 : Rx: [51][FF][02][14][87][9E][5C][33]
24993921 : Rx fail
24994171 : Rx fail
24994437 : Rx: [51][FF][02][14][87][9E][5C][33]
24994687 : Rx: [19][88][18][BA][49][00][20][33]
24994937 : Rx fail
24995187 : Rx: [19][89][19][EA][49][30][20][33]
24995437 : Rx: [10][19][0B][A1][0B][0C][FF][34]
24995671 : Rx: [19][8A][19][1B][4A][31][20][33]
24995937 : Rx: [10][19][0D][A2][7A][0C][FF][34]
24996187 : Rx: [19][8B][19][4A][4A][2F][20][33]
24996421 : Rx fail
24996687 : Rx fail
24996937 : Rx: [10][19][11][A5][CD][0C][FF][34]
24997187 : Rx: [19][8D][1A][AC][4A][33][20][33]
24997437 : Rx fail
24997687 : Rx: [19][8E][1A][DA][4A][2E][20][33]
24997937 : Rx: [10][19][15][A8][CD][0C][FF][34]
24998187 : Rx: [19][8F][1A][0C][4B][32][20][33]
24998437 : Rx: [10][19][17][AA][CD][0C][FF][34]
24998687 : Rx: [19][90][1A][3D][4B][31][20][33]
24998937 : Rx: [10][19][19][AC][B2][0C][FF][34]
24999171 : Rx: [19][91][1B][71][4B][34][20][33]
24999437 : Rx: [10][19][1B][AD][CD][0C][FF][34]
24999687 : Rx: [19][92][1A][9F][4B][2E][20][33]
24999937 : Rx: [10][19][1D][AF][58][0D][FF][34]
25000187 : Rx: [19][93][1B][D7][4B][38][20][33]
25000437 : Rx: [10][19][1F][B0][3C][0D][FF][34]
25000687 : Rx: [19][94][1B][0A][4C][33][20][33]
25000937 : Rx: [10][19][21][B2][21][0D][FF][34]
25001187 : Rx: [19][95][1C][45][4C][3B][20][33]
25001437 : Rx: [10][19][23][B4][AC][0D][FF][34]
25001687 : Rx: [19][96][1B][76][4C][31][20][33]
25001937 : Rx: [10][19][25][B5][AC][0D][FF][34]
