*** New Session***
31-7-2018 08:19:13
Product Name: KickR -30
58949890 : Rx: [10][19][AF][2D][6D][0E][FF][3C]
58950140 : Rx: [19][21][FF][A3][EC][34][00][30]
58950390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58950640 : Rx: [10][19][B2][32][40][0F][FF][3C]
58950890 : Rx: [10][19][B3][32][40][0F][FF][3C]
58951140 : Rx: [1A][47][47][3E][3E][CF][42][30]
58951390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58951640 : Rx: [10][19][B6][36][91][0F][FF][3C]
58951890 : Rx: [10][19][B7][36][91][0F][FF][3C]
58952140 : Rx: [19][29][FF][F1][ED][2C][00][30]
58952390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58952640 : Rx: [10][19][BA][38][D3][0F][FF][3C]
58952890 : Rx: [10][19][BB][3B][08][10][FF][3C]
58953140 : Rx: [1A][4A][4A][49][4B][2E][44][30]
58953390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58953640 : Rx: [10][19][BE][3D][48][10][FF][3C]
58953890 : Rx: [10][19][BF][3F][56][10][FF][3C]
58954140 : Rx: [19][31][FF][33][EF][22][00][30]
58954390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58954640 : Rx: [10][19][C2][41][53][10][FF][3C]
58954890 : Rx: [10][19][C3][43][9D][10][FF][3C]
58955140 : Rx: [1A][4E][4E][0F][5C][E4][45][30]
58955390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58955640 : Rx: [10][19][C6][46][F9][10][FF][3C]
58955890 : Rx: [10][19][C7][48][0C][11][FF][3C]
58956140 : Rx: [19][39][FF][8B][F0][23][00][30]
58956390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58956640 : Rx: [10][19][CA][4A][35][11][FF][3C]
58956890 : Rx: [10][19][CB][4C][6F][11][FF][3C]
58957140 : Rx: [1A][52][52][13][6C][A7][47][30]
58957390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58957640 : Rx: [10][19][CE][4E][94][11][FF][3C]
58957890 : Rx: [10][19][CF][51][C0][11][FF][3C]
58958140 : Rx: [19][41][FF][CD][F1][27][00][30]
58958390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58958640 : Rx: [10][19][D2][53][EA][11][FF][3C]
58958890 : Rx: [10][19][D3][55][0A][12][FF][3C]
58959140 : Rx: [1A][56][56][7F][7B][1D][49][30]
58959390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58959640 : Rx: [50][FF][FF][01][20][00][01][00]
58959890 : Rx: [50][FF][FF][01][20][00][01][00]
58960140 : Rx: [10][19][D8][59][39][12][FF][3C]
58960390 : Rx: [10][19][D9][5C][5C][12][FF][3C]
58960640 : Rx: [19][4B][FF][4D][F3][27][00][30]
58960890 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58961140 : Rx: [10][19][DC][60][9B][12][FF][3C]
58961390 : Rx: [10][19][DD][60][9B][12][FF][3C]
58961640 : Rx: [1A][5C][5C][E1][91][75][4B][30]
58961890 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58962140 : Rx: [10][19][E0][64][D6][12][FF][3C]
58962390 : Rx: [10][19][E1][64][D6][12][FF][3C]
58962640 : Rx: [19][53][FF][AA][F4][28][00][30]
58962890 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58963140 : Rx: [10][19][E4][69][11][13][FF][3C]
58963390 : Rx: [10][19][E5][6B][19][13][FF][3C]
58963640 : Rx: [1A][60][60][5E][A0][FE][4C][30]
58963890 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58964140 : Rx: [10][19][E8][6D][36][13][FF][3C]
58964390 : Rx: [10][19][E9][6F][5C][13][FF][3C]
58964640 : Rx: [19][5B][FF][FA][F5][2A][00][30]
58964890 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58965140 : Rx: [10][19][EC][74][70][13][FF][3C]
58965390 : Rx: [10][19][ED][74][70][13][FF][3C]
58965640 : Rx: [1A][65][65][16][B2][D9][4E][30]
58965890 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58966140 : Rx: [10][19][F0][78][91][13][FF][3C]
58966390 : Rx: [10][19][F1][78][91][13][FF][3C]
58966640 : Rx: [19][63][FF][4A][F7][2A][00][30]
58966890 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58967140 : Rx: [10][19][F4][7C][DD][13][FF][3C]
58967390 : Rx: [10][19][F5][7F][EB][13][FF][3C]
58967640 : Rx: [1A][69][69][06][C0][89][50][30]
58967890 : Rx fail
58968140 : Rx fail
58968390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58968640 : Rx: [10][19][FA][85][37][14][FF][3C]
58968890 : Rx: [10][19][FB][85][37][14][FF][3C]
58969140 : Rx: [19][6B][FF][D2][F8][2B][00][30]
58969390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58969640 : Rx fail
58969890 : Rx fail
58970140 : Rx: [1A][6F][6F][6E][D4][04][53][30]
58970390 : Rx fail
58970640 : Rx: [10][19][02][8E][5C][14][FF][3C]
58970890 : Rx: [10][19][03][90][94][14][FF][3C]
58971140 : Rx: [19][73][FF][4B][FA][2C][00][30]
58971390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58971640 : Rx: [10][19][06][95][6C][14][FF][3C]
58971890 : Rx: [10][19][07][95][6C][14][FF][3C]
58972140 : Rx fail
58972390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58972640 : Rx: [10][19][0A][99][89][14][FF][3C]
58972890 : Rx: [10][19][0B][9B][64][14][FF][3C]
58973140 : Rx: [19][7B][FF][AE][FB][2C][00][30]
58973390 : Rx fail
58973640 : Rx: [10][19][0E][A0][A0][14][FF][3C]
58973890 : Rx: [10][19][0F][A0][A0][14][FF][3C]
58974140 : Rx: [1A][79][79][ED][F5][E2][56][30]
58974390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58974640 : Rx: [10][19][12][A4][CA][14][FF][3C]
58974890 : Rx: [10][19][13][A6][E2][14][FF][3C]
58975140 : Rx: [19][83][FF][26][FD][2D][00][30]
58975390 : Rx fail
58975640 : Rx: [10][19][16][A8][D2][14][FF][3C]
58975890 : Rx: [10][19][17][AB][FE][14][FF][3C]
58976140 : Rx: [1A][7E][7E][5A][06][F8][58][30]
58976390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58976640 : Rx: [51][FF][FF][2E][A5][F7][C8][00]
58976890 : Rx: [51][FF][FF][2E][A5][F7][C8][00]
58977140 : Rx: [10][19][1C][B1][1B][15][FF][3C]
58977390 : Rx: [10][19][1D][B3][3E][15][FF][3C]
58977640 : Rx: [19][8D][FF][FA][FE][2E][00][30]
58977890 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58978140 : Rx: [10][19][20][B8][5D][15][FF][3C]
58978390 : Rx: [10][19][21][B8][5D][15][FF][3C]
58978640 : Rx: [1A][84][84][C1][19][49][5B][30]
58978890 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58979140 : Rx: [10][19][24][BC][96][15][FF][3C]
58979390 : Rx: [10][19][25][BE][C0][15][FF][3C]
58979640 : Rx: [19][95][FF][95][00][39][00][30]
58979890 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58980140 : Rx: [10][19][28][C3][F0][15][FF][3C]
58980390 : Rx: [10][19][29][C3][F0][15][FF][3C]
58980640 : Rx: [1A][89][89][7E][29][3D][5D][30]
58980890 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58981140 : Rx: [10][19][2C][C7][0E][16][FF][3C]
58981390 : Rx: [10][19][2D][C9][20][16][FF][3C]
58981640 : Rx: [19][9D][FF][17][02][31][00][30]
58981890 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58982140 : Rx: [10][19][30][CE][5B][16][FF][3C]
58982390 : Rx: [10][19][31][CE][5B][16][FF][3C]
58982640 : Rx: [1A][8E][8E][EA][38][54][5F][30]
58982890 : Rx fail
58983140 : Rx: [10][19][34][D2][C2][16][FF][3C]
58983390 : Rx: [10][19][35][D4][EB][16][FF][3C]
58983640 : Rx: [19][A5][FF][DC][03][45][00][30]
58983890 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58984140 : Rx: [10][19][38][D9][1E][17][FF][3C]
58984390 : Rx: [10][19][39][DB][39][17][FF][3C]
58984640 : Rx: [1A][93][93][D6][47][6F][61][30]
58984890 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58985140 : Rx: [10][19][3C][DF][73][17][FF][3C]
58985390 : Rx: [10][19][3D][DF][73][17][FF][3C]
58985640 : Rx fail
58985890 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58986140 : Rx: [10][19][40][E6][E6][17][FF][3C]
58986390 : Rx: [10][19][41][E6][E6][17][FF][3C]
58986640 : Rx: [1A][99][99][3D][59][11][64][30]
58986890 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58987140 : Rx: [10][19][44][EA][1C][18][FF][3C]
58987390 : Rx: [10][19][45][ED][1E][18][FF][3C]
58987640 : Rx: [19][B5][FF][66][07][36][00][30]
58987890 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58988140 : Rx: [10][19][48][F1][46][18][FF][3C]
58988390 : Rx: [10][19][49][F3][43][18][FF][3C]
58988640 : Rx: [1A][9F][9F][48][6A][65][66][30]
58988890 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58989140 : Rx: [10][19][4C][F8][64][18][FF][3C]
58989390 : Rx: [10][19][4D][FA][71][18][FF][3C]
58989656 : Rx: [19][BD][FF][2E][09][36][00][30]
58989890 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58990140 : Rx: [10][19][50][FE][A1][18][FF][3C]
58990390 : Rx: [10][19][51][00][B1][18][FF][3C]
58990656 : Rx: [1A][A4][A4][4C][78][95][68][30]
58990906 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58991140 : Rx: [10][19][54][05][F7][18][FF][3C]
58991390 : Rx: [10][19][55][07][21][19][FF][3C]
58991656 : Rx: [19][C5][FF][3F][0B][4B][00][30]
58991906 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58992156 : Rx: [10][19][58][0B][79][19][FF][3C]
58992390 : Rx: [10][19][59][0B][79][19][FF][3C]
58992640 : Rx: [1A][AA][AA][AE][88][6F][6B][30]
58992906 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58993156 : Rx: [50][FF][FF][01][20][00][01][00]
58993406 : Rx: [50][FF][FF][01][20][00][01][00]
58993656 : Rx: [10][19][5E][14][DD][19][FF][3C]
58993906 : Rx: [10][19][5F][16][DD][19][FF][3C]
58994156 : Rx: [19][CF][FF][26][0E][5A][00][30]
58994406 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58994656 : Rx: [10][19][62][1B][41][1A][FF][3C]
58994906 : Rx: [10][19][63][1D][3D][1A][FF][3C]
58995156 : Rx: [1A][B2][B2][D4][9D][35][6F][30]
58995390 : Rx fail
58995640 : Rx fail
58995906 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58996156 : Rx: [10][19][68][26][C3][1A][FF][3C]
58996406 : Rx: [10][19][69][28][E1][1A][FF][3C]
58996656 : Rx: [19][D7][FF][7C][10][40][00][30]
58996906 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58997156 : Rx: [10][19][6C][2C][EB][1A][FF][3C]
58997406 : Rx: [10][19][6D][2F][1A][1B][FF][3C]
58997656 : Rx: [1A][BA][BA][4C][B2][C0][72][30]
58997906 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58998156 : Rx: [10][19][70][33][4C][1B][FF][3C]
58998406 : Rx: [10][19][71][35][84][1B][FF][3C]
58998656 : Rx: [19][DF][FF][9F][12][3E][00][30]
58998906 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58999156 : Rx: [10][19][74][3A][A1][1B][FF][3C]
58999406 : Rx: [10][19][75][3C][DF][1B][FF][3C]
58999656 : Rx: [1A][C0][C0][34][C1][B0][75][30]
58999906 : Rx: [11][FF][FF][DB][FF][7F][00][30]
59000156 : Rx: [10][19][78][42][5F][1C][FF][3C]
59000406 : Rx: [10][19][79][45][82][1C][FF][3C]
59000656 : Rx: [19][E7][FF][1F][15][52][00][30]
59000906 : Rx: [11][FF][FF][DB][FF][7F][00][30]
59001140 : Rx fail
59001406 : Rx: [10][19][7D][4B][07][1D][FF][3C]
59001656 : Rx: [1A][C7][C7][FF][D1][17][79][30]
59001906 : Rx: [11][FF][FF][DB][FF][7F][00][30]
59002156 : Rx: [10][19][80][50][2C][1D][FF][3C]
59002406 : Rx: [10][19][81][52][45][1D][FF][3C]
59002656 : Rx: [19][EF][FF][71][17][42][00][30]
59002906 : Rx: [11][FF][FF][DB][FF][7F][00][30]
59003156 : Rx: [10][19][84][58][6D][1D][FF][3C]
59003406 : Rx: [10][19][85][5B][64][1D][FF][3C]
59003656 : Rx: [1A][CE][CE][66][E2][CC][7B][30]
59003906 : Rx: [11][FF][FF][DB][FF][7F][00][30]
59004156 : Rx: [10][19][88][5F][6D][1D][FF][3C]
59004406 : Rx: [10][19][89][61][64][1D][FF][3C]
59004656 : Rx: [19][F7][FF][88][19][42][00][30]
59004906 : Rx: [11][FF][FF][DB][FF][7F][00][30]
59005156 : Rx: [10][19][8C][68][A2][1D][FF][3C]
59005406 : Rx: [10][19][8D][6A][BE][1D][FF][3C]
59005656 : Rx: [1A][D4][D4][60][F0][6E][7E][30]
59005906 : Rx: [11][FF][FF][DB][FF][7F][00][30]
59006156 : Rx: [10][19][90][6E][11][1E][FF][3C]
59006406 : Rx: [10][19][91][71][1F][1E][FF][3C]
59006656 : Rx: [19][FF][FF][3D][1C][75][00][30]
59006906 : Rx: [11][FF][FF][DB][FF][7F][00][30]
59007156 : Rx: [10][19][94][77][84][1E][FF][3C]
59007406 : Rx: [10][19][95][79][C0][1E][FF][3C]
59007656 : Rx: [1A][DC][DC][78][02][47][82][30]
59007906 : Rx: [11][FF][FF][DB][FF][7F][00][30]
59008156 : Rx: [10][19][98][7E][B6][1E][FF][3C]
59008406 : Rx: [10][19][99][80][E8][1E][FF][3C]
59008656 : Rx: [19][07][FF][B5][1E][46][00][30]
59008906 : Rx: [11][FF][FF][DB][FF][7F][00][30]
59009156 : Rx: [10][19][9C][87][10][1F][FF][3C]
59009406 : Rx: [10][19][9D][89][01][1F][FF][3C]
59009656 : Rx: [1A][E3][E3][04][12][4A][85][30]
59009906 : Rx: [11][FF][FF][DB][FF][7F][00][30]
59010156 : Rx: [51][FF][FF][2E][A5][F7][C8][00]
59010406 : Rx: [51][FF][FF][2E][A5][F7][C8][00]
59010656 : Rx: [10][19][A2][92][65][1F][FF][3C]
59010906 : Rx: [10][19][A3][94][92][1F][FF][3C]
59011156 : Rx: [19][11][FF][1C][22][5F][00][30]
59011406 : Rx: [11][FF][FF][DB][FF][7F][00][30]
59011656 : Rx: [10][19][A6][9A][08][20][FF][3C]
59011906 : Rx: [10][19][A7][9D][0F][20][FF][3C]
59012156 : Rx: [1A][EC][EC][8B][25][C3][89][30]
59012406 : Rx: [11][FF][FF][DB][FF][7F][00][30]
59012656 : Rx: [10][19][AA][A3][F6][1F][FF][3C]
59012906 : Rx: [10][19][AB][A5][15][20][FF][3C]
59013156 : Rx: [19][19][FF][CC][24][5A][00][30]
59013406 : Rx: [11][FF][FF][DB][FF][7F][00][30]
59013656 : Rx: [10][19][AE][AC][83][20][FF][3C]
59013906 : Rx: [10][19][AF][AC][99][20][FF][3C]
59014156 : Rx: [1A][F3][F3][76][34][FB][8C][30]
59014406 : Rx: [11][FF][FF][DB][FF][7F][00][30]
59014656 : Rx: [10][19][B2][B3][C2][20][FF][3C]
59014906 : Rx: [10][19][B3][B5][BF][20][FF][3C]
